Utterance,Intent
Schließ Musik EntertainTV,TV__EXIT
Schließe die MagentaTV Einstellungen,TV__EXIT
MagentaTV verlass den Kids-Bereich,TV__EXIT
Hauptmenü schließen EntertainTV,TV__EXIT
TV-Programm wieder schließen MagentaTV,TV__EXIT
Schließ meine MagentaTV Aufnahmen,TV__EXIT
Schließe die Megathek MagentaTV,TV__EXIT
MagentaTV meine Inhalte schließen,TV__EXIT
Verlasse die Megathek wieder MagentaTV,TV__EXIT
Exit MagentaTV,TV__EXIT
MagentaTV schließe das Hauptmenü,TV__EXIT
Hilfe schließen MagentaTV\nMagentaTV Exit,TV__EXIT
Verlasse das MagentaTV Hauptmenü,TV__EXIT
EntertainTV Menü wieder verlassen,TV__EXIT
Einstellungen verlassen MagentaTV,TV__EXIT
Schließ den Sport-Bereich MagentaTV,TV__EXIT
MagentaTV schließ das Menü,TV__EXIT
Starte Aufnahme von MagentaTV,TV__INSTANT_RECORDING
Aufnehmen was gerade auf MagentaTV kommt,TV__INSTANT_RECORDING
Zeichne das hier auf MagentaTV auf,TV__INSTANT_RECORDING
EntertainTV aufzeichnen,TV__INSTANT_RECORDING
Beginne Aufnahme auf MagentaTV,TV__INSTANT_RECORDING
Starte Aufzeichnung auf MagentaTV,TV__INSTANT_RECORDING
Starte Aufnahme MagentaTV,TV__INSTANT_RECORDING
Nimm das mal auf EntertainTV auf,TV__INSTANT_RECORDING
Beginne Aufzeichnung von MagentaTV,TV__INSTANT_RECORDING
Aufnahme MagentaTV,TV__INSTANT_RECORDING
MagentaTV Aufnahme starten,TV__INSTANT_RECORDING
Nimm MagentaTV auf,TV__INSTANT_RECORDING
MagentaTV Aufnahme beginnen,TV__INSTANT_RECORDING
MagentaTV aufnehmen,TV__INSTANT_RECORDING
Starte Aufzeichnung MagentaTV,TV__INSTANT_RECORDING
Aufzeichnung MagentaTV,TV__INSTANT_RECORDING
MagentaTV geh nach rechts,TV__NAVIGATE
Entertain spring (zurück) zu jetzt,TV__NAVIGATE
MagentaTV eins nach rechts springen,TV__NAVIGATE
Eins rauf gehen MagentaTV,TV__NAVIGATE
MagentaTV spring (zurück) zum jetzigen Zeitpunkt,TV__NAVIGATE
Zu jetzt (zurück)springen MagentaTV,TV__NAVIGATE
Zeig mir wieder 17 Uhr NITRO an MagentaTV,TV__NAVIGATE
MagentaTV Dienstag zeigen,TV__NAVIGATE
MagentaTV spring eins nach oben,TV__NAVIGATE
MagentaTV gehe mal zum Montag auf ARTE,TV__NAVIGATE
MagentaTV zurück zum 28.11. ZDF,TV__NAVIGATE
Zu jetzt auf aktuellem Sender (zurück)gehen MagentaTV,TV__NAVIGATE
MagentaTV geh nach oben,TV__NAVIGATE
Spring nochmal auf den Montag von Tele 5 MagentaTV,TV__NAVIGATE
EntertainTV eins nach links gehen,TV__NAVIGATE
EntertainTV gehe zum aktuellen Kanal (zurück),TV__NAVIGATE
Zeige jetzt mal ZDF MagentaTV,TV__NAVIGATE
Spring zum aktuellen Kanal (zurück) MagentaTV,TV__NAVIGATE
Eins nach rechts gehen MagentaTV,TV__NAVIGATE
MagentaTV eins nach unten springen,TV__NAVIGATE
Geh eins nach oben MagentaTV,TV__NAVIGATE
MagentaTV geh (zurück) zu jetzt auf dem aktuellen Sender,TV__NAVIGATE
Eins nach oben gehen MagentaTV,TV__NAVIGATE
EntertainTV 20 Uhr bei 3Sat zeigen,TV__NAVIGATE
Nach rechts springen MagentaTV,TV__NAVIGATE
zurück zu ZDF MagentaTV,TV__NAVIGATE
MagentaTV geh zu 20 Uhr,TV__NAVIGATE
Zu aktuellem Kanal (zurück) MagentaTV,TV__NAVIGATE
Spring nochmal auf den Montag MagentaTV,TV__NAVIGATE
Aktuelles EPG MagentaTV,TV__NAVIGATE
Eins runter gehen MagentaTV,TV__NAVIGATE
MagentaTV letzten Dienstag auf ProSieben anzeigen,TV__NAVIGATE
EntertainTV gehe zu ARTE,TV__NAVIGATE
MagentaTV zeig mal KiKA,TV__NAVIGATE
Geh (zurück) zum aktuellen Zeitpunkt MagentaTV,TV__NAVIGATE
Zeig BR MagentaTV,TV__NAVIGATE
Geh eins nach unten MagentaTV,TV__NAVIGATE
MagentaTV eins nach oben gehen,TV__NAVIGATE
Aktueller Kanal und aktuelle Zeit MagentaTV,TV__NAVIGATE
Spring eins nach rechts MagentaTV,TV__NAVIGATE
EntertainTV aktueller Sender,TV__NAVIGATE
MagentaTV (zurück) zum aktuellen Sender,TV__NAVIGATE
MagentaTV geh weiter zu RTL 2,TV__NAVIGATE
Zum aktuellen Kanal (zurück) MagentaTV,TV__NAVIGATE
Entertain spring (zurück) zu aktuellem Sender und aktueller Zeit,TV__NAVIGATE
MagentaTV zeige mir ARD am Sonntag,TV__NAVIGATE
Geh nach rechts MagentaTV,TV__NAVIGATE
MagentaTV zu ARD am Samstag,TV__NAVIGATE
MagentaTV jetzt zum Abend,TV__NAVIGATE
MagentaTV nach rechts,TV__NAVIGATE
Zu 17:30 Uhr springen MagentaTV,TV__NAVIGATE
MagentaTV spring eins nach links,TV__NAVIGATE
MagentaTV geh eins hoch,TV__NAVIGATE
MagentaTV zeig mir RTL,TV__NAVIGATE
MagentaTV nach links gehen,TV__NAVIGATE
zum Nachmittag MagentaTV,TV__NAVIGATE
eins nach unten MagentaTV,TV__NAVIGATE
eins nach rechts MagentaTV,TV__NAVIGATE
MagentaTV eins runter gehen,TV__NAVIGATE
MagentaTV weiter zu RTL,TV__NAVIGATE
Zu kabel eins 17:30 Uhr springen MagentaTV,TV__NAVIGATE
Eins nach oben springen MagentaTV,TV__NAVIGATE
Spring eins rauf MagentaTV,TV__NAVIGATE
Geh zum aktuellen Sender (zurück) Entertain,TV__NAVIGATE
Spring zu 22 Uhr MagentaTV,TV__NAVIGATE
MagentaTV gehe eins nach rechts,TV__NAVIGATE
MagentaTV Programm für jetzt,TV__NAVIGATE
Springe auf Mittwoch MagentaTV,TV__NAVIGATE
(Zurück) zu jetzigem Zeitpunkt und aktuellem Kanal MagentaTV,TV__NAVIGATE
Zum aktuellen Kanal springen MagentaTV,TV__NAVIGATE
Eins nach links gehen MagentaTV,TV__NAVIGATE
(In) MagentaTV zu aktuellem Kanal springen,TV__NAVIGATE
MagentaTV nach links,TV__NAVIGATE
EntertainTV nach oben gehen,TV__NAVIGATE
MagentaTV auf 15 Uhr bei ZDF gehen,TV__NAVIGATE
MagentaTV geh zu 21:30 Uhr auf sixx,TV__NAVIGATE
MagentaTV auf 15 Uhr gehen,TV__NAVIGATE
Zu jetzt im TV-Programm EntertainTV,TV__NAVIGATE
Springe nach oben MagentaTV,TV__NAVIGATE
MagentaTV gehe eins nach links,TV__NAVIGATE
weiter zum Abend MagentaTV,TV__NAVIGATE
Runter springen MagentaTV,TV__NAVIGATE
MagentaTV aktueller Kanal und aktueller Zeitpunkt,TV__NAVIGATE
MagentaTV zu ARTE,TV__NAVIGATE
eins nach links MagentaTV,TV__NAVIGATE
MagentaTV spring wieder zur aktuellen Uhrzeit (zurück),TV__NAVIGATE
Zum Montag springen MagentaTV,TV__NAVIGATE
Springe nach rechts MagentaTV,TV__NAVIGATE
MagentaTV auf 20 Uhr springen,TV__NAVIGATE
MagentaTV nochmal zum Freitag auf ONE springen,TV__NAVIGATE
Spring eins nach links MagentaTV,TV__NAVIGATE
jetzt zum BR MagentaTV,TV__NAVIGATE
MagentaTV geh runter,TV__NAVIGATE
MagentaTV auf WDR 20 Uhr springen,TV__NAVIGATE
MagentaTV geh zu RTL 20 Uhr,TV__NAVIGATE
Gehe nochmal zu VOX MagentaTV,TV__NAVIGATE
(Zurück) zum aktuellen Sender und zu aktueller Uhrzeit EntertainTV,TV__NAVIGATE
Zum aktuellen Sender gehen MagentaTV,TV__NAVIGATE
MagentaTV eins nach rechts gehen,TV__NAVIGATE
MagentaTV gehe eins nach oben,TV__NAVIGATE
MagentaTV nach oben,TV__NAVIGATE
Springe auf Mittwoch bei RTL MagentaTV,TV__NAVIGATE
MagentaTV nach unten,TV__NAVIGATE
MagentaTV Geh zu jetzt (zurück),TV__NAVIGATE
MagentaTV gehe mal zum Montag,TV__NAVIGATE
Eins nach unten gehen MagentaTV,TV__NAVIGATE
MagentaTV spring eins nach rechts,TV__NAVIGATE
Zum Montag auf VOX springen MagentaTV,TV__NAVIGATE
Zu jetzt (zurück)gehen MagentaTV,TV__NAVIGATE
jetzt ARD am Nachmittag MagentaTV,TV__NAVIGATE
Aktuelles Fernsehprogramm MagentaTV,TV__NAVIGATE
MagentaTV zeige mir den Sonntag,TV__NAVIGATE
Geh jetzt zu ARD MagentaTV,TV__NAVIGATE
MagentaTV zurück zu 10 Uhr,TV__NAVIGATE
Springe nach unten MagentaTV,TV__NAVIGATE
zu 20 Uhr MagentaTV,TV__NAVIGATE
MagentaTV springe hoch,TV__NAVIGATE
Zu aktuellem Sender gehen auf MagentaTV,TV__NAVIGATE
zurück zum Vormittag MagentaTV,TV__NAVIGATE
Zeig mir wieder 17 Uhr an EntertainTV,TV__NAVIGATE
weiter zu 22 Uhr MagentaTV,TV__NAVIGATE
EntertainTV nach unten gehen,TV__NAVIGATE
Nach links springen MagentaTV,TV__NAVIGATE
MagentaTV eins nach unten gehen,TV__NAVIGATE
MagentaTV gehe eins nach unten,TV__NAVIGATE
Spring eins nach oben MagentaTV,TV__NAVIGATE
Geh zum Ersten MagentaTV,TV__NAVIGATE
Springe nach links MagentaTV,TV__NAVIGATE
MagentaTV geh zum Vormittag,TV__NAVIGATE
Zu jetzt auf aktuellen Kanal (zurück)springen MagentaTV,TV__NAVIGATE
MagentaTV spring eins nach unten,TV__NAVIGATE
Geh eins nach links MagentaTV,TV__NAVIGATE
Aktuelles Programm EntertainTV,TV__NAVIGATE
MagentaTV geh nach links,TV__NAVIGATE
eins nach oben MagentaTV,TV__NAVIGATE
MagentaTV eins nach oben springen,TV__NAVIGATE
MagentaTV eins nach links springen,TV__NAVIGATE
Spring eins runter MagentaTV,TV__NAVIGATE
Aktuelle Zeit und aktueller Sender EntertainTV,TV__NAVIGATE
zu RTL 20 Uhr MagentaTV,TV__NAVIGATE
EntertainTV nach rechts gehen,TV__NAVIGATE
Aktueller Kanal MagentaTV,TV__NAVIGATE
MagentaTV geh zu 21:30 Uhr,TV__NAVIGATE
MagentaTV gehe zurück zu SAT.1,TV__NAVIGATE
eins nach oben in MagentaTV,TV__NAVIGATION_KEYS
navigiere bitte eins hoch im Entertain,TV__NAVIGATION_KEYS
MagentaTV geh nach links,TV__NAVIGATION_KEYS
spring in MagentaTV nach oben,TV__NAVIGATION_KEYS
spring eins nach oben in EntertainTV,TV__NAVIGATION_KEYS
eins nach unten springen im Entertain,TV__NAVIGATION_KEYS
eins nach unten in MagentaTV,TV__NAVIGATION_KEYS
eins nach links in MagentaTV,TV__NAVIGATION_KEYS
heraufspringen in MagentaTV,TV__NAVIGATION_KEYS
in MagentaTV nach rechts springen,TV__NAVIGATION_KEYS
eins nach unten navigieren in EntertainTV,TV__NAVIGATION_KEYS
spring eins nach unten in EntertainTV,TV__NAVIGATION_KEYS
spring in MagentaTV runter,TV__NAVIGATION_KEYS
in MagentaTV nach rechts,TV__NAVIGATION_KEYS
springe in MagentaTV runter,TV__NAVIGATION_KEYS
spring eins runter in MagentaTV,TV__NAVIGATION_KEYS
eins nach oben navigieren in EntertainTV,TV__NAVIGATION_KEYS
eins nach oben springen im Entertain,TV__NAVIGATION_KEYS
navigiere mal rauf in EntertainTV,TV__NAVIGATION_KEYS
in EntertainTV navigiere eins nach oben,TV__NAVIGATION_KEYS
spring eins herauf in MagentaTV,TV__NAVIGATION_KEYS
in MagentaTV nach links springen,TV__NAVIGATION_KEYS
spring eins nach links in EntertainTV,TV__NAVIGATION_KEYS
spring in MagentaTV nach links,TV__NAVIGATION_KEYS
in MagentaTV nach unten,TV__NAVIGATION_KEYS
spring eins nach rechts in EntertainTV,TV__NAVIGATION_KEYS
runterspringen in MagentaTV,TV__NAVIGATION_KEYS
spring in MagentaTV hinauf,TV__NAVIGATION_KEYS
eins nach rechts in MagentaTV,TV__NAVIGATION_KEYS
in EntertainTV navigiere eins nach unten,TV__NAVIGATION_KEYS
in MagentaTV nach oben,TV__NAVIGATION_KEYS
spring in MagentaTV nach unten,TV__NAVIGATION_KEYS
spring in MagentaTV nach rechts,TV__NAVIGATION_KEYS
MagentaTV geh nach oben,TV__NAVIGATION_KEYS
sping bitte eins runter in MagentaTV,TV__NAVIGATION_KEYS
springe in MagentaTV herauf,TV__NAVIGATION_KEYS
in MagentaTV nach oben navigieren bitte,TV__NAVIGATION_KEYS
in MagentaTV nach unten navigieren bitte,TV__NAVIGATION_KEYS
in MagentaTV nach links,TV__NAVIGATION_KEYS
navigiere nach unten in MagentaTV,TV__NAVIGATION_KEYS
in MagentaTV nach unten springen,TV__NAVIGATION_KEYS
sping bitte eins hinauf in MagentaTV,TV__NAVIGATION_KEYS
hinaufspringen in MagentaTV,TV__NAVIGATION_KEYS
eins nach links springen im Entertain,TV__NAVIGATION_KEYS
navigiere nach oben in MagentaTV,TV__NAVIGATION_KEYS
eins nach rechts springen im Entertain,TV__NAVIGATION_KEYS
in MagentaTV nach oben springen,TV__NAVIGATION_KEYS
Schalte auf den nächsten Sender auf MagentaTV,TV__NEXT_CHANNEL
Auf MagentaTV einen Kanal höher,TV__NEXT_CHANNEL
MagentaTV auf nächsten Kanal schalten,TV__NEXT_CHANNEL
Geh weiter zum nächsten Kanal auf MagentaTV,TV__NEXT_CHANNEL
Schalte Entertain auf den nächsten Sender,TV__NEXT_CHANNEL
Ein Programm runter auf MagentaTV,TV__NEXT_CHANNEL
Schalte eins zurück auf MagentaTV,TV__NEXT_CHANNEL
MagentaTV einen Kanal zurück,TV__NEXT_CHANNEL
MagentaTV ein Kanal hoch,TV__NEXT_CHANNEL
Einen Kanal zurückschalten auf MagentaTV,TV__NEXT_CHANNEL
Schalte auf MagentaTV einen Sender zurück,TV__NEXT_CHANNEL
Schalt einen Kanal weiter auf EntertainTV,TV__NEXT_CHANNEL
EntertainTV ein Sender zurück,TV__NEXT_CHANNEL
Schalte MagentaTV ein Kanal hoch,TV__NEXT_CHANNEL
Schalte nächsten Sender von EntertainTV,TV__NEXT_CHANNEL
Schalte zum nächsten Kanal auf EntertainTV,TV__NEXT_CHANNEL
Im Entertain ein Programm zurück,TV__NEXT_CHANNEL
Einen Sender zurück auf MagentaTV schalten,TV__NEXT_CHANNEL
Schalte um zum nächsten Sender auf Entertain,TV__NEXT_CHANNEL
Schalte nächsten Sender auf MagentaTV,TV__NEXT_CHANNEL
Auf EntertainTV einen Kanal runter,TV__NEXT_CHANNEL
auf ok drücken in EntertainTV,TV__OK
EntertainTV bestätigen,TV__OK
in EntertainTV mit ok bestätigen,TV__OK
in MagentaTV ok drücken,TV__OK
MagentaTV ich bestätige,TV__OK
in MagentaTV das hier bitte öffnen,TV__OK
wähl das bitte aus in MagentaTV,TV__OK
in MagentaTV auf ok klicken,TV__OK
ok klicken in EntertainTV,TV__OK
MagentaTV ok,TV__OK
drück ok in MagentaTV,TV__OK
das hier bitte bestätigen in EntertainTV,TV__OK
MagentaTV ok ich bestätige,TV__OK
ok auswählen in MagentaTV,TV__OK
wähl das hier aus in MagentaTV,TV__OK
auf Ok-Taste klicken in MagentaTV,TV__OK
das hier auswählen in EntertainTV,TV__OK
EntertainTV ok bestätigt,TV__OK
MagentaTV bestätige,TV__OK
klick ok auf MagentaTV,TV__OK
EntertainTV öffnen,TV__OK
das bitte öffnen in EntertainTV,TV__OK
auswählen in MagentaTV,TV__OK
MagentaTV öffne,TV__OK
wähle ok aus in MagentaTV,TV__OK
bitte öffnen in MagentaTV,TV__OK
MagentaTV Prime Video,TV__OPEN_PARTNER_APP
Öffne die Netflix App in MagentaTV,TV__OPEN_PARTNER_APP
in MagentaTV zu Syfy wechseln,TV__OPEN_PARTNER_APP
in MagentaTV CityVision aufmachen,TV__OPEN_PARTNER_APP
Wechsle zur App TNT Film auf MagentaTV,TV__OPEN_PARTNER_APP
Mach die ARD Mediathek auf in EntertainTV,TV__OPEN_PARTNER_APP
Schalte auf die YouTube Kids App in EntertainTV,TV__OPEN_PARTNER_APP
in EntertainTV Telekom Eishockey starten,TV__OPEN_PARTNER_APP
Geh zur App FRANCE 24 auf MagentaTV,TV__OPEN_PARTNER_APP
Geh zu YouTube Cobalt auf MagentaTV,TV__OPEN_PARTNER_APP
Starte Digital Concert auf MagentaTV,TV__OPEN_PARTNER_APP
Wechsle zu ARD Mediathek auf EntertainTV,TV__OPEN_PARTNER_APP
Öffne die ZDF Mediathek in EntertainTV,TV__OPEN_PARTNER_APP
Starte die App Telekom Sport auf EntertainTV,TV__OPEN_PARTNER_APP
in EntertainTV zu Videoload gehen,TV__OPEN_PARTNER_APP
Wechsle zu Youtube in MagentaTV,TV__OPEN_PARTNER_APP
Schalte auf die ARD Mediathek in MagentaTV,TV__OPEN_PARTNER_APP
Öffne TV NOW in MagentaTV,TV__OPEN_PARTNER_APP
Starte die ZDF Mediathek in MagentaTV,TV__OPEN_PARTNER_APP
Mach die MagentaSport App auf in MagentaTV,TV__OPEN_PARTNER_APP
in MagentaTV auf maxdome schalten,TV__OPEN_PARTNER_APP
in EntertainTV Disney Channel öffnen,TV__OPEN_PARTNER_APP
Geh zu ZDF Mediathek in EntertainTV,TV__OPEN_PARTNER_APP
Mach YouTube auf auf MagentaTV,TV__OPEN_PARTNER_APP
Schalte auf Netflix in MagentaTV,TV__OPEN_PARTNER_APP
Zu meinen EntertainTV Aufnahmen,TV__OPEN_RECORDINGS
Zeig mir die MagentaTV Aufnahmen,TV__OPEN_RECORDINGS
Was habe ich auf MagentaTV aufgenommen,TV__OPEN_RECORDINGS
Zeige meine Entertain Aufzeichnungen,TV__OPEN_RECORDINGS
EntertainTV Aufnahmen öffnen,TV__OPEN_RECORDINGS
Was habe ich in meinen EntertainTV Aufnahmen gespeichert?,TV__OPEN_RECORDINGS
Was hab ich alles auf Entertain aufgezeichnet,TV__OPEN_RECORDINGS
Meine Aufnahme Liste auf Entertain anzeigen,TV__OPEN_RECORDINGS
Die Entertain Aufnahmeliste öffnen,TV__OPEN_RECORDINGS
Zeige meine EntertainTV Aufnahmen,TV__OPEN_RECORDINGS
Öffne meine Aufnahmen in MagentaTV,TV__OPEN_RECORDINGS
Öffne meine MagentaTV Aufzeichnungen,TV__OPEN_RECORDINGS
Öffne meine Entertain Aufnahmen,TV__OPEN_RECORDINGS
Zeige Aufnahmen auf MagentaTV,TV__OPEN_RECORDINGS
Öffne das Aufnahme-Menü in EntertainTV,TV__OPEN_RECORDINGS
Öffne mir die Liste mit meinen MagentaTV Aufnahmen,TV__OPEN_RECORDINGS
EntertainTV Wiedergabe unterbrechen,TV__PAUSE
Stoppe MagentaTV,TV__PAUSE
Pause auf EntertainTV,TV__PAUSE
MagentaTV stoppen,TV__PAUSE
MagentaTV Filmpause,TV__PAUSE
EntertainTV auf Pause,TV__PAUSE
MagentaTV anhalten,TV__PAUSE
EntertainTV pausieren,TV__PAUSE
MagentaTV auf Pause schalten,TV__PAUSE
Unterbreche die Sendung auf MagentaTV,TV__PAUSE
Halte das Programm auf MagentaTV an,TV__PAUSE
Pausiere die Wiedergabe auf EntertainTV,TV__PAUSE
Pausiere MagentaTV,TV__PAUSE
Unterbreche EntertainTV,TV__PAUSE
Schalte den Film bei MagentaTV auf Pause,TV__PAUSE
EntertainTV Wiedergabe pausieren,TV__PAUSE
EntertainTV Wiedergabe anhalten,TV__PAUSE
Schalte MagentaTV auf Pause,TV__PAUSE
MagentaTV unterbrechen,TV__PAUSE
Stoppe den Film auf MagentaTV,TV__PAUSE
Halte EntertainTV an,TV__PAUSE
Timeshift auf MagentaTV,TV__PAUSE
Mach mal Pause mit MagentaTV,TV__PAUSE
EntertainTV Wiedergabe stoppen,TV__PAUSE
MagentaTV Pause,TV__PAUSE
Filmpause auf Entertain,TV__PAUSE
MagentaTV Pause beenden,TV__PLAY
Drücke Play bei Entertain,TV__PLAY
Setz MagentaTV fort,TV__PLAY
Sendung auf MagentaTV fortsetzen,TV__PLAY
EntertainTV fortsetzen,TV__PLAY
MagentaTV Film weiter ansehen,TV__PLAY
MagentaTV fortsetzen,TV__PLAY
Programm auf MagentaTV weiterlaufen lassen,TV__PLAY
MagentaTV Timeshift fortsetzen,TV__PLAY
Bitte MagentaTV wieder abspielen,TV__PLAY
MagentaTV weiter schauen,TV__PLAY
Spiel MagentaTV wieder ab,TV__PLAY
MagentaTV weiter,TV__PLAY
Setze MagentaTV fort,TV__PLAY
MagentaTV abspielen,TV__PLAY
MagentaTV Play,TV__PLAY
Pause beenden auf MagentaTV,TV__PLAY
Lass den MagentaTV weiterlaufen,TV__PLAY
Mach weiter mit MagentaTV,TV__PLAY
Bitte den Film fortsetzen auf MagentaTV,TV__PLAY
Weiter laufen lassen auf MagentaTV,TV__PLAY
EntertainTV Wiedergabe fortsetzen,TV__PLAY
Laufende Sendung auf MagentaTV fortsetzen,TV__PLAY
MagentaTV an,TV__POWER
mach bitte EntertainTV aus,TV__POWER
MagentaTV einschalten,TV__POWER
kannst du mal MagentaTV starten,TV__POWER
MagentaTV starten,TV__POWER
schalte MagentaTV aus,TV__POWER
MagentaTV beenden,TV__POWER
kannst du bitte MagentaTV wieder einschalten,TV__POWER
mach den MagentaTV wieder an,TV__POWER
EntertainTV ausschalten,TV__POWER
beende EntertainTV,TV__POWER
MagentaTV wieder einschalten,TV__POWER
kannst du mal MagentaTV beenden,TV__POWER
mach bitte MagentaTV an,TV__POWER
schalte MagentaTV an,TV__POWER
starte MagentaTV,TV__POWER
kannst du bitte EntertainTV wieder ausschalten,TV__POWER
MagentaTV wieder ausschalten,TV__POWER
MagentaTV aus,TV__POWER
mach den Entertain wieder aus,TV__POWER
stell MagentaTV an,TV__POWER
Magenta TV was wird eigentlich montags auf RTL gezeigt?,TV__PROGRAM
Was wird bei Tele 5 gezeigt MagentaTV,TV__PROGRAM
MagentaTV was läuft gerade im Fernsehen,TV__PROGRAM
Welche Sendungen kommen am späten Abend MagentaTV,TV__PROGRAM
MagentaTV was bringen sie am Montag bis 10 Uhr auf dem Sender WDR,TV__PROGRAM
MagentaTV was kommt denn im Fernsehen,TV__PROGRAM
MagentaTV was zeigen sie auf kabel eins,TV__PROGRAM
MagentaTV Fernsehprogramm,TV__PROGRAM
EntertainTV was kam letzten Freitag im TV,TV__PROGRAM
MagentaTV was bringen sie nächste Woche,TV__PROGRAM
Was gibt es eigentlich am Donnerstag nachmittags bei Bayern MagentaTV,TV__PROGRAM
Was zeigt ARTE MagentaTV,TV__PROGRAM
Was bringen sie am Nachmittag um 3 Uhr im Fernsehen MagentaTV,TV__PROGRAM
Was gibt es eigentlich am Donnerstag im Ersten MagentaTV,TV__PROGRAM
Was läuft zur Mittagszeit MagentaTV,TV__PROGRAM
Was wird um 20:15 Uhr gezeigt MagentaTV,TV__PROGRAM
MagentaTV welche Sendungen kommen im Augenblick auf KiKA,TV__PROGRAM
Was läuft denn an Weihnachten morgens im Fernsehen MagentaTV,TV__PROGRAM
Was ist gerade auf sixx im Programm MagentaTV,TV__PROGRAM
MagentaTV welche Sendung läuft denn auf Sat.1,TV__PROGRAM
MagentaTV was bringen sie auf dem Sender NDR,TV__PROGRAM
Was wird morgen bei Tele 5 um 20:15 Uhr gezeigt MagentaTV,TV__PROGRAM
Was gibt es eigentlich am Donnerstag Nachmittag im Fernsehen MagentaTV,TV__PROGRAM
Was läuft denn im Moment im Fernsehen MagentaTV,TV__PROGRAM
Was gibt's grade bei RTL II EntertainTV,TV__PROGRAM
MagentaTV welche Sendungen kommen denn übermorgen auf RTL,TV__PROGRAM
Welche Sendung kommt denn jetzt bei MDR MagentaTV,TV__PROGRAM
MagentaTV welche Sendungen kommen am 3.5. morgens auf ARD,TV__PROGRAM
Was gibt es eigentlich abends im Fernsehen MagentaTV,TV__PROGRAM
MagentaTV was kommt denn jetzt auf ARTE,TV__PROGRAM
MagentaTV welche Sendungen laufen denn am Vormittag,TV__PROGRAM
Magenta TV was wird auf RTL gezeigt,TV__PROGRAM
Was ist auf RTL um 18:30 Uhr im Programm MagentaTV,TV__PROGRAM
