Utterance,Intent
MagentaTV was bringen sie am Mittwoch Mittag im TV,TV__PROGRAM
Magenta TV was kommt eigentlich montags,TV__PROGRAM
MagentaTV was läuft am Samstag tagsüber im TV,TV__PROGRAM
Magenta TV was wird momentan bei ONE gezeigt?,TV__PROGRAM
MagentaTV welche Sendungen kommen übermorgen um 20 Uhr im TV,TV__PROGRAM
Programm an Weihnachten MagentaTV,TV__PROGRAM
Was läuft denn an Weihnachten bei ZDF EntertainTV,TV__PROGRAM
MagentaTV was kommt denn auf ARD,TV__PROGRAM
MagentaTV RTL II Programm,TV__PROGRAM
EntertainTV was kommt denn jetzt im TV,TV__PROGRAM
MagentaTV was kommt denn am Freitag von 9 bis 13 Uhr im Fernsehen,TV__PROGRAM
MagentaTV was bringen sie nächste Woche im Fernsehen,TV__PROGRAM
Was ist freitags um 18:30 Uhr im Fernsehen MagentaTV,TV__PROGRAM
Was gibt es jetzt gerade im Ersten MagentaTV,TV__PROGRAM
Was bringt der Bayrische Rundfunk jetzt im Moment MagentaTV,TV__PROGRAM
Was gibt's denn morgen im Fernsehen MagentaTV,TV__PROGRAM
Was bringen sie im TV MagentaTV,TV__PROGRAM
MagentaTV was bringen sie auf dem Sender WDR,TV__PROGRAM
MagentaTV was läuft am Samstagabend im Fernsehen,TV__PROGRAM
Was bringt ARTE morgen am Mittag MagentaTV,TV__PROGRAM
MagentaTV was zeigen sie im Moment auf NITRO,TV__PROGRAM
MagentaTV was kam gestern,TV__PROGRAM
Was läuft denn an Ostern nachmittags bei ZDF EntertainTV,TV__PROGRAM
MagentaTV welche Sendung läuft denn am Vormittag auf SAT.1,TV__PROGRAM
Was gibt's denn bei RTL II MagentaTV,TV__PROGRAM
Was gibt's denn morgen bei RTL II MagentaTV,TV__PROGRAM
Welche Sendung kommt bei ProSieben MagentaTV,TV__PROGRAM
Was bringen sie aktuell im Fernsehen MagentaTV,TV__PROGRAM
MagentaTV was lief vorgestern im Fernsehen,TV__PROGRAM
MagentaTV Programm am Samstagabend,TV__PROGRAM
MagentaTV welche Sendungen laufen denn am Vormittag im TV,TV__PROGRAM
Was bringt eigentlich der Bayrische Rundfunk MagentaTV,TV__PROGRAM
Magenta TV was wird eigentlich montags um 15 Uhr auf dem Hessischen Rundfunk gezeigt?,TV__PROGRAM
Was kommt zur Prime Time MagentaTV,TV__PROGRAM
MagentaTV was kommt denn am Freitag auf ARD,TV__PROGRAM
Was gibt's denn Dienstag spätabends im Fernsehen MagentaTV,TV__PROGRAM
MagentaTV welche Sendungen kommen denn übermorgen im TV,TV__PROGRAM
Was zeigt RTLzwei gerade MagentaTV,TV__PROGRAM
Was ist auf RTL im Programm MagentaTV,TV__PROGRAM
MagentaTV was wird eigentlich montags um 15 Uhr im Fernsehen gezeigt?,TV__PROGRAM
MagentaTV welche Sendung läuft denn übermorgen am Vormittag im Ersten,TV__PROGRAM
Was gibt es eigentlich im Abendprogramm EntertainTV,TV__PROGRAM
MagentaTV was bringen sie jetzt gerade auf dem Sender ProSieben,TV__PROGRAM
Was läuft denn an Pfingsten im Fernsehen MagentaTV,TV__PROGRAM
MagentaTV was läuft am Samstagabend im MDR,TV__PROGRAM
Was läuft eigentlich im Fernsehen MagentaTV,TV__PROGRAM
MagentaTV jetzt im Fernsehen,TV__PROGRAM
MagentaTV was bringen sie momentan im TV,TV__PROGRAM
MagentaTV was wird im Moment auf RTLplus gezeigt,TV__PROGRAM
Was läuft eigentlich zur Zeit im Fernsehen MagentaTV,TV__PROGRAM
Was gibt es im Ersten MagentaTV,TV__PROGRAM
Was gibt's am Samstag zur Prime Time im Fernsehen MagentaTV,TV__PROGRAM
MagentaTV was ist auf 3sat aktuell im Programm,TV__PROGRAM
MagentaTV was kommt jetzt gerade im Fernsehen,TV__PROGRAM
MagentaTV was zeigen sie morgens um 7 Uhr auf Kabeleins,TV__PROGRAM
Was wird morgen um 20:15 Uhr im TV gezeigt MagentaTV,TV__PROGRAM
Freitagabend Programm MagentaTV,TV__PROGRAM
Was läuft denn an Ostern MagentaTV,TV__PROGRAM
MagentaTV was läuft am Samstagabend,TV__PROGRAM
ARD Programm MagentaTV,TV__PROGRAM
MagentaTV was lief vorgestern,TV__PROGRAM
Was läuft denn aktuell bei zdf_neo MagentaTV,TV__PROGRAM
MagentaTV Programm zu Ostern,TV__PROGRAM
Was läuft zur Mittagszeit im Fernsehen MagentaTV,TV__PROGRAM
EntertainTV was läuft eigentlich im TV,TV__PROGRAM
Was kommt zur Prime Time im Fernsehen MagentaTV,TV__PROGRAM
MagentaTV was kommt eigentlich montags im Fernsehen,TV__PROGRAM
Programm ARD MagentaTV,TV__PROGRAM
Was zeigt RTL zur Prime Time MagentaTV,TV__PROGRAM
Welche Sendung kommt bei ProSieben MAXX am späten Abend MagentaTV,TV__PROGRAM
EntertainTV was zeigen sie morgens um 7 Uhr im Fernsehen,TV__PROGRAM
Was wird momentan bei Tele 5 gezeigt MagentaTV,TV__PROGRAM
Was wird um 20:15 Uhr im Fernsehen gezeigt MagentaTV,TV__PROGRAM
MagentaTV welche Sendung läuft denn zur Zeit auf Sat.1,TV__PROGRAM
MagentaTV welche Sendungen kommen auf RTL,TV__PROGRAM
TV Programm MagentaTV,TV__PROGRAM
MagentaTV was kommt denn am Freitag Morgen auf VOX,TV__PROGRAM
EntertainTV Programm RTL,TV__PROGRAM
Was wird bei Tele 5 um 20:15 Uhr gezeigt MagentaTV,TV__PROGRAM
MagentaTV welche Sendungen kommen denn übermorgen,TV__PROGRAM
Was gibt's denn morgen MagentaTV,TV__PROGRAM
Welche Sendungen kommen am späten Abend im Fernsehen MagentaTV,TV__PROGRAM
EntertainTV was läuft eigentlich im MDR,TV__PROGRAM
MagentaTV was läuft am Samstag tagsüber bei WDR,TV__PROGRAM
Was läuft denn bei ZDF MagentaTV,TV__PROGRAM
MagentaTV was läuft eigentlich gerade auf hr,TV__PROGRAM
Was zeigt RTL am Samstag zur Prime Time MagentaTV,TV__PROGRAM
Welche Sendung kommt bei ProSieben am 3.12. spätabends MagentaTV,TV__PROGRAM
Was gibt's denn morgen am frühen Abend bei RTL II MagentaTV,TV__PROGRAM
Nimm RTL als Einzelaufnahme in HD heute um acht Uhr auf MagentaTV auf,TV__RECORD
Nimm Kanal 5 um 18:00 Uhr auf EntertainTV auf,TV__RECORD
Nimm Kanal 5 morgen um 18:00 Uhr auf EntertainTV auf,TV__RECORD
Nehme Interstellar am Nachmittag auf EntertainTV auf,TV__RECORD
MagentaTV zeichne Harry Potter auf RTL2 um halb elf am Samstag auf,TV__RECORD
Entertain Aufnahme von TELE 5 in SD starten,TV__RECORD
MDR ab halb neun auf MagentaTV aufzeichnen,TV__RECORD
Entertain Aufnahme von TELE 5 starten,TV__RECORD
Beginne Serienaufnahme von Kanal 14 auf MagentaTV,TV__RECORD
Auf EntertainTV SAT1 um 20:15 Uhr aufzeichnen,TV__RECORD
Aufnahme von Kanal 23 in HD starten MagentaTV,TV__RECORD
MagentaTV n-tv heute Abend aufnehmen,TV__RECORD
FOX heute ab viertel nach acht bitte aufzeichnen,TV__RECORD
MagentaTV Sendung als Serie in SD aufzeichnen,TV__RECORD
MagentaTV Kanal 15 am Mittwoch aufnehmen,TV__RECORD
Undercover Boss auf MagentaTV aufzeichnen,TV__RECORD
EntertainTV nimm diese Sendung als Serie auf,TV__RECORD
MagentaTV Forrest Gump am 23. Mai aufnehmen,TV__RECORD
MagentaTV Game of Thrones als Serie aufnehmen,TV__RECORD
Nimm mal Kanal 2 auf EntertainTV auf,TV__RECORD
Kabel Eins am Samstag auf MagentaTV aufnehmen,TV__RECORD
EntertainTV SD-Aufnahme RTL,TV__RECORD
EntertainTV Serienaufnahme in SD starten,TV__RECORD
Nimm den Tatort in HD auf ARD heute um acht Uhr auf MagentaTV auf,TV__RECORD
MagentaTV Harry Potter am 6.6. aufzeichnen,TV__RECORD
Beginne Aufnahme von MDR auf MagentaTV,TV__RECORD
Nehme Interstellar übermorgen auf EntertainTV auf,TV__RECORD
Nehme Interstellar auf RTL in SD morgen auf EntertainTV auf,TV__RECORD
Diese RTL Serie in HD auf MagentaTV aufzeichnen,TV__RECORD
MagentaTV starte Serienaufnahme,TV__RECORD
Serie auf Comedy Central in SD samstags um halb sechs auf EntertainTV aufnehmen,TV__RECORD
MagentaTV starte Serienaufnahme auf SAT.1,TV__RECORD
MagentaTV nimm die Tagesschau am Montag um acht auf,TV__RECORD
MDR am 5.7 auf MagentaTV aufzeichnen,TV__RECORD
MagentaTV Einzelaufnahme beginnen,TV__RECORD
Starte Serienaufnahme auf EntertainTV,TV__RECORD
Nehme Interstellar auf RTL in SD morgen Abend auf EntertainTV auf,TV__RECORD
MagentaTV Kanal 5 in HD aufnehmen,TV__RECORD
MagentaTV ProSieben Serie in SD montags aufnehmen,TV__RECORD
Nehme Personal Shopper auf VOX als Einzelaufnahme auf EntertainTV auf,TV__RECORD
MagentaTV nimm Buffy auf ProSieben als Serienaufnahme um acht Uhr auf,TV__RECORD
Starte Aufnahme vom Entertain in UHD,TV__RECORD
Beginne HD-Aufnahme von Kanal 5 auf MagentaTV,TV__RECORD
MagentaTV Game of Thrones auf RTL als Serie um elf Uhr aufnehmen,TV__RECORD
Heute um halb acht South Park auf MagentaTV aufnehmen,TV__RECORD
Nimm den Tatort als Serienaufnahme auf ARD um viertel nach acht auf MagentaTV auf,TV__RECORD
MagentaTV Last Man Standing auf ProSieben um drei Uhr am Sonntag aufzeichnen,TV__RECORD
Auf EntertainTV Gladiator morgen um 18:15 Uhr aufzeichnen,TV__RECORD
MagentaTV Game of Thrones in UHD aufnehmen,TV__RECORD
MagentaTV nimm Buffy auf Kanal 5 als Serienaufnahme auf,TV__RECORD
Mach eine Aufnahme von Breaking Bad auf EntertainTV,TV__RECORD
Nehme Interstellar heute Abend auf EntertainTV auf,TV__RECORD
EntertainTV Serienaufnahme in HD auf Kanal 5 jeden Sonntag um viertel nach acht,TV__RECORD
Entertain nimm Buffy in 4K auf VOX am 6.6 auf,TV__RECORD
Friends am Samstag auf Entertain aufnehmen,TV__RECORD
MagentaTV Undercover Boss heute Abend aufzeichnen,TV__RECORD
MagentaTV Forrest Gump am 23. Mai um zehn Uhr aufnehmen,TV__RECORD
MagentaTV Serienaufnahme in HD beginnen,TV__RECORD
Kanal 20 in SD auf EntertainTV aufnehmen,TV__RECORD
American Dad auf Comedy Central in HD aufnehmen EntertainTV,TV__RECORD
Auf ProSieben jetzt Aufzeichnung von EntertainTV starten,TV__RECORD
Nimm RTL heute um achtzehn Uhr auf MagentaTV auf,TV__RECORD
MagentaTV Game of Thrones in UHD auf ProSieben am Montag aufnehmen,TV__RECORD
EntertainTV Einzelaufnahme in HD,TV__RECORD
EntertainTV Inception am 3. Mai auf VOX aufnehmen,TV__RECORD
Nimm SAT1 auf MagentaTV auf,TV__RECORD
EntertainTV nehme auf Fox Prison Break am 21. Juni auf,TV__RECORD
Auf EntertainTV Serienaufnahme in HD starten,TV__RECORD
Starte Aufzeichnung in SD MagentaTV,TV__RECORD
Nehme Personal Shopper in SD auf EntertainTV auf,TV__RECORD
Starte Serienaufnahme auf NDR bei EntertainTV,TV__RECORD
MagentaTV nimm bitte Buffy auf,TV__RECORD
SAT1 in HD auf MagentaTV aufnehmen,TV__RECORD
Auf EntertainTV Serienaufnahme auf WDR starten,TV__RECORD
MagentaTV auf ProSieben Serienaufnahme in HD starten,TV__RECORD
Serienaufnahme in SD MagentaTV,TV__RECORD
Am Sonntag um acht Uhr den Tatort auf Kanal 1 auf MagentaTV aufnehmen,TV__RECORD
Um halb acht South Park auf MagentaTV aufnehmen,TV__RECORD
MagentaTV n-tv am Dienstag aufnehmen,TV__RECORD
EntertainTV Aufzeichnung in HD,TV__RECORD
Entertain nimm Buffy in 4K auf VOX heute um viertel vor zehn auf,TV__RECORD
MagentaTV Game of Thrones um viertel vor elf aufnehmen,TV__RECORD
MagentaTV Game of Thrones in UHD auf ProSieben um elf Uhr aufnehmen,TV__RECORD
Am Sonntag um acht Uhr den Tatort auf dem Ersten auf MagentaTV aufnehmen,TV__RECORD
Auf MagentaTV eine SD Aufnahme starten,TV__RECORD
Auf EntertainTV SAT1 am 3.7. aufzeichnen,TV__RECORD
Nehme Personal Shopper als Einzelaufnahme auf EntertainTV auf,TV__RECORD
Serie in SD auf Kanal 23 auf EntertainTV aufnehmen,TV__RECORD
Friends am Samstag um neun Uhr auf MagentaTV aufnehmen,TV__RECORD
Auf EntertainTV American Dad in HD aufnehmen,TV__RECORD
Nimm den Tatort heute um viertel nach acht als Einzelaufnahme auf ARD auf MagentaTV auf,TV__RECORD
MagentaTV Game of Thrones in UHD auf ProSieben aufnehmen,TV__RECORD
Zeichne den Polizeiruf 110 auf EntertainTV auf,TV__RECORD
MagentaTV starte Aufnahme von Kanal 7,TV__RECORD
Aufzeichnung von MagentaTV in Full HD,TV__RECORD
Beginne Serienaufnahme von RTL auf MagentaTV,TV__RECORD
4K Aufnahme von ProSieben auf MagentaTV,TV__RECORD
Beginne Serienaufnahme in 4K auf MagentaTV,TV__RECORD
Auf EntertainTV SAT1 am 3.7. um 20:15 Uhr aufzeichnen,TV__RECORD
MagentaTV Kanal 5 aufnehmen,TV__RECORD
MagentaTV nimm Comedy Central morgen auf,TV__RECORD
Entertain nimm VOX als Einzelaufnahme in HD heute um viertel vor zehn auf,TV__RECORD
Auf EntertainTV American Dad um 18 Uhr aufnehmen,TV__RECORD
MagentaTV RTL Sendung als Serie in SD aufzeichnen,TV__RECORD
MagentaTV zeichne Harry Potter auf RTL2 am kommenden Samstag auf,TV__RECORD
Nimm RTL heute als Einzelaufnahme in HD auf MagentaTV auf,TV__RECORD
MagentaTV nimm Buffy auf ProSieben als Serienaufnahme am 1.6 auf,TV__RECORD
Kanal 8 auf MagentaTV Aufnahme in SD starten,TV__RECORD
Kanal 8 auf MagentaTV Aufnahme starten,TV__RECORD
MagentaTV nimm das Automagazin auf n-tv auf,TV__RECORD
Aufnahme machen von Bauer sucht Frau auf Entertain,TV__RECORD
MagentaTV SD Aufnahme beginnen,TV__RECORD
Big Bang Theory um viertel nach drei im Entertain aufnehmen,TV__RECORD
Nimm Kanal 5 morgen auf EntertainTV auf,TV__RECORD
Auf EntertainTV Gladiator aufzeichnen,TV__RECORD
MagentaTV Last Man Standing auf ProSieben am Sonntag aufzeichnen,TV__RECORD
MagentaTV Game of Thrones aufnehmen,TV__RECORD
Serie auf Comedy Central in SD am Samstag auf EntertainTV aufnehmen,TV__RECORD
Nimm RTL heute auf MagentaTV auf,TV__RECORD
MagentaTV ProSieben Serie in SD um fünfzehn nach acht aufnehmen,TV__RECORD
Aufnahme von Kanal 4 auf EntertainTV,TV__RECORD
Nehme ZDF am Sonntag auf EntertainTV auf,TV__RECORD
EntertainTV nimm das in HD als Serie auf,TV__RECORD
Zeichne auf Kanal 12 den Polizeiruf 110 auf EntertainTV,TV__RECORD
EntertainTV eine SD Aufnahme bitte,TV__RECORD
Beginne Serienaufnahme von RTL in HD auf MagentaTV,TV__RECORD
Auf EntertainTV American Dad als Serie aufnehmen,TV__RECORD
Starte Serienaufnahme in HD auf Kanal 32 auf EntertainTV,TV__RECORD
Nehme die Nachrichten auf ZDF auf Entertain auf,TV__RECORD
Diese Serie auf MagentaTV aufzeichnen,TV__RECORD
Kabel Eins am Samstag ab 19:00 Uhr auf MagentaTV aufnehmen,TV__RECORD
MagentaTV nehm South Park auf Comedy Central auf,TV__RECORD
Auf MagentaTV die ZDF Sendung Maybrit Illner aufnehmen,TV__RECORD
EntertainTV Sendung als Einzelaufnahme aufzeichnen,TV__RECORD
Zeichne das hier als Serie auf Magentatv auf,TV__RECORD
Auf EntertainTV American Dad heute um 18 Uhr aufnehmen,TV__RECORD
Nimm Herr der Ringe heute auf RTL auf MagentaTV auf,TV__RECORD
Auf EntertainTV American Dad auf Comedy Central als Serie um sechs Uhr aufnehmen,TV__RECORD
South Park auf MagentaTV aufnehmen,TV__RECORD
Beginne Aufnahme von Kanal 5 auf MagentaTV,TV__RECORD
Am 5. Juni Inception auf MagentaTV aufnehmen,TV__RECORD
Auf EntertainTV Serienaufnahme starten,TV__RECORD
MagentaTV Aufnahme RTL in HD,TV__RECORD
MagentaTV Game of Thrones auf RTL sonntags um elf Uhr als Serie aufnehmen,TV__RECORD
Auf EntertainTV American Dad auf Comedy Central als Einzelaufnahme morgen um sechs Uhr aufnehmen,TV__RECORD
Aufnahme machen ProSieben 18:00 Uhr MagentaTV,TV__RECORD
MagentaTV nimm bitte Buffy morgen um 12 Uhr auf,TV__RECORD
Nimm den Tatort in HD auf ARD auf MagentaTV auf,TV__RECORD
SD-Aufnahme MagentaTV,TV__RECORD
MagentaTV zeichne auf MDR den Polizeiruf 110 auf,TV__RECORD
Beginne Serienaufnahme in SD von Kanal 14 auf MagentaTV,TV__RECORD
Nimm mal Kabel Eins auf EntertainTV auf,TV__RECORD
Nimm das Automagazin auf dem Kanal 9 auf MagentaTV auf,TV__RECORD
Einzelaufnahme in SD auf EntertainTV,TV__RECORD
Auf Entertain im ZDF Interstellar aufnehmen,TV__RECORD
Serie auf ARD auf EntertainTV aufnehmen,TV__RECORD
MagentaTV Game of Thrones auf RTL als Serie aufnehmen,TV__RECORD
Auf EntertainTV American Dad auf Comedy Central in HD um halb sechs aufnehmen,TV__RECORD
Aufnahme von American Dad auf MagentaTV Kanal 23,TV__RECORD
Mach eine Tele 5 Aufnahme von Forrest Gump auf MagentaTV,TV__RECORD
Nehme Personal Shopper auf Kanal 6 als Einzelaufnahme morgen um halb sechs auf EntertainTV auf,TV__RECORD
Starte Serienaufnahme auf Kanal 32 auf EntertainTV,TV__RECORD
Bitte TELE 5 am 5. Juni um viertel nach acht im Entertain aufnehmen,TV__RECORD
Auf EntertainTV Aufnahme machen DSDS RTL2,TV__RECORD
Bitte Big Bang Theory im Entertain aufnehmen,TV__RECORD
Zeichne das hier auf MagentaTV in HD auf,TV__RECORD
Nehme Personal Shopper auf Kanal 6 als Einzelaufnahme um halb sechs auf EntertainTV auf,TV__RECORD
Nimm den Tatort in HD auf ARD um acht Uhr auf MagentaTV auf,TV__RECORD
Entertain Aufnahme Breaking Bad auf Fox,TV__RECORD
Nimm Herr der Ringe auf RTL heute um acht Uhr auf MagentaTV auf,TV__RECORD
EntertainTV Kanal 12 American Dad aufnehmen,TV__RECORD
MagentaTV Aufnahme von Kanal 2 in HD starten,TV__RECORD
MagentaTV ZDF aufnehmen,TV__RECORD
Nimm das mal als Serie auf EntertainTV auf,TV__RECORD
Entertain nimm Buffy in 4K auf VOX auf,TV__RECORD
MDR morgen ab halb neun auf MagentaTV aufzeichnen,TV__RECORD
Aufnahme auf EntertainTV in Ultra HD,TV__RECORD
MagentaTV Interstellar bitte aufzeichnen,TV__RECORD
EntertainTV Aufnahme von ZDF in HD,TV__RECORD
Nimm Tatort als Serienaufnahme auf ARD auf MagentaTV auf,TV__RECORD
Einzelaufnahme MagentaTV,TV__RECORD
Auf EntertainTV American Dad heute aufnehmen,TV__RECORD
MagentaTV nimm Buffy in 4K auf,TV__RECORD
MagentaTV RTL Sendung als Serie aufzeichnen,TV__RECORD
MagentaTV nimm Buffy auf ProSieben als Serienaufnahme jeden Samstag um acht Uhr auf,TV__RECORD
Zeichne VOX morgen auf EntertainTV auf,TV__RECORD
MagentaTV in HD aufnehmen,TV__RECORD
MagentaTV Sendung als Serie aufzeichnen,TV__RECORD
MagentaTV nimm um zwanzig Uhr die Tagesschau auf,TV__RECORD
Starte Serienaufnahme in UHD auf EntertainTV,TV__RECORD
Bitte TELE 5 um viertel nach acht im Entertain aufnehmen,TV__RECORD
Starte Aufnahme von Kanal 17 auf EntertainTV,TV__RECORD
Nehme die Nachrichten auf ARD heute um acht Uhr auf Entertain auf,TV__RECORD
Aufzeichnung RTL in SD MagentaTV,TV__RECORD
Auf EntertainTV 3Sat am Montag um viertel nach drei aufnehmen,TV__RECORD
Auf EntertainTV Gladiator um 18:15 Uhr aufzeichnen,TV__RECORD
Nehme die Nachrichten auf ARD heute auf Entertain auf,TV__RECORD
Nehme ZDF um viertel vor acht auf EntertainTV auf,TV__RECORD
Starte HD-Aufnahme auf MagentaTV,TV__RECORD
EntertainTV VOX Sendung als Einzelaufnahme aufzeichnen,TV__RECORD
MagentaTV Serienaufnahme auf Kanal 5 starten,TV__RECORD
MagentaTV Kanal 15 um 15:00 Uhr aufnehmen,TV__RECORD
Nehme ZDF am Sonntag um viertel vor acht auf EntertainTV auf,TV__RECORD
EntertainTV Aufnahme in HD starten,TV__RECORD
Starte Serienaufnahme in SD auf EntertainTV,TV__RECORD
DSDS Aufnahme auf MagentaTV,TV__RECORD
Diese RTL Serie auf MagentaTV aufzeichnen,TV__RECORD
Nimm den Tatort auf Entertain auf dem Kanal 1 auf,TV__RECORD
FOX heute bitte aufzeichnen,TV__RECORD
Auf EntertainTV American Dad aufnehmen,TV__RECORD
MagentaTV nimm Comedy Central morgen Abend auf,TV__RECORD
MagentaTV n-tv um acht Uhr aufnehmen,TV__RECORD
MagentaTV Game of Thrones in UHD auf ProSieben am Montag um elf Uhr aufnehmen,TV__RECORD
Gladiator morgen auf EntertainTV aufzeichnen,TV__RECORD
Serie auf Kanal 23 auf EntertainTV aufnehmen,TV__RECORD
EntertainTV Kanal 12 American Dad morgen Abend aufnehmen,TV__RECORD
Auf EntertainTV 3Sat um viertel nach drei aufnehmen,TV__RECORD
Entertain nimm Buffy in 4K auf VOX um viertel vor zehn auf,TV__RECORD
Kanal 24 Undercover Boss auf Entertain aufzeichnen,TV__RECORD
MagentaTV Game of Thrones auf RTL als Serie am Sonntag aufnehmen,TV__RECORD
Serie in HD auf MagentaTV aufzeichnen,TV__RECORD
Mach eine Aufnahme von ARD übermorgen auf EntertainTV,TV__RECORD
Nimm MagentaTV in HD auf,TV__RECORD
Nimm den Tatort in HD heute auf ARD auf MagentaTV auf,TV__RECORD
Nehme Interstellar auf RTL um halb elf in SD auf EntertainTV auf,TV__RECORD
Starte ARD Aufnahme bei MagentaTV,TV__RECORD
Serie auf ARD in 4K auf EntertainTV aufnehmen,TV__RECORD
Starte Aufnahme von ProSieben auf MagentaTV,TV__RECORD
MagentaTV nimm Buffy als Serienaufnahme auf,TV__RECORD
Starte Serienaufnahme auf WDR in SD auf EntertainTV,TV__RECORD
EntertainTV DSDS auf RTL2 in HD um viertel nach acht am Mittwoch aufnehmen,TV__RECORD
EntertainTV Inception am 3. Mai um halb zehn auf VOX aufnehmen,TV__RECORD
Serie auf Comedy Central in SD um halb sechs auf EntertainTV aufnehmen,TV__RECORD
Zeichne 3Sat auf EntertainTV auf,TV__RECORD
Nehme den Tatort am Sonntag auf MagentaTV auf,TV__RECORD
EntertainTV nehme auf Fox Prison Break heute Abend auf,TV__RECORD
Nimm den Tatort auf MagentaTV auf,TV__RECORD
Mach eine Aufnahme von ARD übermorgen um 9:00 Uhr auf EntertainTV,TV__RECORD
